State,Birthplace,Weight
100,40500,3.11
100,30010,5.7
100,3900,481.02
100,30015,13.44
100,43330,0.66
100,46520,0.19
100,30020,2.18
100,3400,176.82
100,30025,11.68
100,53200,2.21
100,30030,6.49
100,50000,58.9
100,2900,206.95
100,1000,23.36
100,30040,1.37
100,50010,2.1
100,30045,2.19
100,2400,112.72
100,51600,0.59
100,30050,10.89
100,1900,75.21
100,30065,3.62
100,41100,4.82
100,50040,12.44
100,70010,6.09
100,5500,103.57
100,40000,0.64
100,71042,0.75
100,900,62.49
100,43400,11.62
100,49900,0.8
100,30090,0.13
100,45400,0.77
100,52110,5.1
100,400,67.6
100,15000,40.53
100,4500,216.62
100,60057,0.67
100,26010,7.59
100,51100,4.23
100,4000,117.36
100,54000,3.55
100,52130,1.07
100,46500,16.69
100,25000,13.0
100,54400,3.65
100,52140,12.39
100,26030,18.29
100,46000,0.19
100,50100,47.77
100,52150,2.1
100,54200,12.71
100,51700,9.27
100,26042,1.58
100,26043,3.89
100,45500,3.85
100,46530,11.06
100,2500,118.5
100,26054,0.07
100,26055,0.18
100,45000,2.51
100,26057,0.36
100,26058,0.53
100,26059,0.95
100,26060,4.03
100,46541,0.05
100,46542,3.04
100,46543,0.93
100,2000,102.23
100,43000,0.15
100,46547,1.43
100,26020,2.4
100,1500,40.98
100,5600,11.91
100,52200,13.89
100,53500,3.02
100,26091,1.43
100,5100,286.29
100,26094,2.08
100,500,167.88
100,4600,17.53
100,41300,14.78
100,59900,4.41
100,46590,2.23
200,51200,0.87
200,4100,204.37
200,52140,2.46
200,42000,0.4
200,600,483.21
200,46100,1.17
200,46510,0.19
200,50200,38.27
200,42500,5.4
200,3100,40.27
200,43610,0.65
200,52000,0.07
200,20000,37.58
200,52400,0.05
200,21030,4.88
200,2600,144.55
200,45100,0.84
200,21040,4.55
200,40200,1.45
200,54200,0.99
200,2100,25.63
200,21050,1.53
200,1600,79.91
200,21060,0.92
200,1100,11.65
200,21070,5.79
200,41400,3.14
200,51800,7.4
200,100,40.12
200,53400,3.86
200,4700,29.45
200,3600,147.52
200,51300,10.2
200,4200,107.27
200,26044,0.24
200,60011,0.19
200,60012,0.42
200,60014,1.11
200,60015,2.73
200,42600,3.7
200,3700,51.08
200,54100,0.09
200,60031,3.15
200,3200,22.04
200,95000,2.07
200,45700,1.63
200,60038,0.53
200,30060,0.2
200,16010,0.07
200,2700,127.85
200,41410,0.21
200,45710,1.15
200,45200,0.38
200,43800,2.64
200,60053,4.39
200,60054,0.14
200,60055,0.84
200,2200,40.65
200,53700,0.77
200,45212,0.28
200,45213,0.54
200,60065,0.16
200,40100,0.87
200,60072,1.42
200,45740,1.53
200,1200,91.56
200,51400,1.1
200,5300,327.59
200,42100,4.64
200,60094,0.4
200,4800,176.49
200,45600,0.27
200,60099,0.23
200,200,2759.95
200,29900,0.44
200,50900,0.41
200,3800,39.31
200,43300,0.96
200,40400,1.4
200,3300,14.3
200,11500,0.82
200,2800,21.31
200,41000,8.15
200,45300,49.65
200,26020,2.43
200,11000,8.73
200,2300,18.17
200,10500,8.27
200,60044,0.68
200,1800,52.35
200,10000,20.1
200,1300,62.64
200,5400,12.53
200,70020,2.78
200,10010,4.25
200,800,100.19
200,4900,57.82
200,51500,155.41
200,4400,8.98
200,43400,3.62
200,30005,4.4
200,40500,2.19
200,30010,0.59
200,3900,103.01
200,30015,2.02
200,43330,1.46
200,30020,1.33
200,3400,48.2
200,30025,6.02
200,30030,0.95
200,50000,9.19
200,2900,61.7
200,45400,0.47
200,50010,2.4
200,2400,27.71
200,51600,0.26
200,30050,4.48
200,1900,44.3
200,71023,2.18
200,30065,0.27
200,41100,1.91
200,50040,3.74
200,70010,5.9
200,5500,85.95
200,71042,0.83
200,900,22.68
200,5000,7.56
200,49900,0.26
200,30090,0.59
200,400,68.96
200,15000,31.69
200,4500,29.31
200,52200,0.96
200,26010,16.66
200,51100,1.81
200,4000,62.09
200,54000,0.31
200,52130,0.57
200,46500,13.74
200,25000,1.37
